species,abundance
Acanthastrea echinata,44
Acanthastrea hemprichii,12
Acanthastrea lordhowensis,2
Acanthastrea regularis,2
Acropora abrotanoides,1
Acropora anthocercis,10
Acropora aspera,3
Acropora austera,34
Acropora cerealis,63
Acropora clathrata,1
Acropora cuneata,4672
Acropora cytherea,81
Acropora digitifera,686
Acropora divaricata,22
Acropora elseyi,4
Acropora fat dig,3624
Acropora florida,90
Acropora gemmifera,867
Acropora grandis,1
Acropora humilis,700
Acropora hyacinthus,3666
Acropora intermedia,535
Acropora latistella,23
Acropora listeri,8
Acropora loripes,126
Acropora lutkeni,231
Acropora microclados,19
Acropora millepora,240
Acropora monticulosa,288
Acropora muricata,332
Acropora nana,255
Acropora nasuta,1624
Acropora palifera,415
Acropora polystoma,19
Acropora pulchra,1
Acropora robusta,249
Acropora samoensis,1
Acropora sarmentosa,38
Acropora secale,164
Acropora selago,16
Acropora spathulata,598
Acropora tenuis,137
Acropora valida,2143
Acropora verweyi,12
Acropora yongei,96
Alveopora sp.,1
Astreopora myriophthalma,36
Astreopora ocellata,1
Australogyra zelli,2
Coeloseris mayeri,54
Coscinaraea columna,14
Coscinaraea exesa,14
Ctenactis echinata,3
Cyphastrea chalcidicum,48
Cyphastrea microphthalma,141
Cyphastrea ocellina,2
Cyphastrea serailia,112
Diploastrea heliopora,5
Echinopora gemmacea,74
Echinopora horrida,13
Echinopora lamellosa,49
Favia favus,25
Favia laxa,1
Favia lizardensis,12
Favia matthaii,132
Favia pallida,375
Favia rotumana,1
Favia rotundata,21
Favia stelligera,158
Favites abdita,845
Favites complanata,7
Favites flexuosa,361
Favites halicora,1113
Favites pentagona,130
Favites russelli,1
Fungia fungites,7
Fungia repanda,2
Fungia scutaria,1
Galaxea fascicularis,191
Gardineroseris planulata,1
Goniastrea aspera,286
Goniastrea australensis,2
Goniastrea edwardsi,193
Goniastrea favulus,31
Goniastrea pectinata,135
Goniastrea retiformis,2938
goniopora pendulus,3
goniopora tenuidens,6
Herpolitha limax,1
Hydnophora exesa,84
Hydnophora microconos,266
Hydnophora rigida,6
Leptastrea inaequalis,2
Leptastrea pruinosa,18
Leptastrea purpurea,39
Leptastrea transversa,48
Leptoria irregularis,1
Leptoria phrygia,414
Lobophyllia corymbosa,3
Lobophyllia hataii,1
Lobophyllia hemprichii,18
Merulina ampliata,9
Merulina scabricula,2
Montastrea annuligera,101
Montastrea curta,273
Montastrea magnistellata,21
Montastrea valenciennesi,54
Montipora aequituberculata,12
Montipora caliculata,125
Montipora crassituberculata,347
Montipora danae,21
Montipora efflorescens,10
Montipora floweri,5
Montipora foliosa,2
Montipora foveolata,14
Montipora grisea,362
Montipora hispida,8
Montipora monasteriata,564
Montipora spongodes,1
Montipora spumosa,3
Montipora tuberculosa,12
Montipora turgescens,7
Montipora undata,3
Montipora venosa,24
Montipora verrucosa,20
Pavona varians,14
Pavona venosa,30
Platygyra daedalea,713
Platygyra lamellina,174
Platygyra pini,301
Platygyra ryukyuensis,9
Platygyra sinensis,203
Platygyra verweyi,18
Plesiastrea versipora,2
Pocillopora damicornis,2557
Pocillopora eydouxi,174
Pocillopora verrucosa,1328
Porites spp. (massive),5090
Psammocora digitat,20
Psammocora haimeana,2
Psammocora profundacella,3
Psammocora superficialis,2
Pseudosiderastrea tayami,1
Seriatopora caliendrum,3
Seriatopora hystrix,52
Stylocoeniella armata,1
Stylophora mordax,64
Stylophora pistillata,382
Symphyllia agaricia,79
Symphyllia radians,266
Symphyllia recta,113
Turbinaria mesenterina,3
Turbinaria reniformis,6
Turbinaria stellulata,12