Study,Location,Year,Family,Family_old,Genus,Method,N,Size_m2,Time_months,N_m2_year,Notes
Dustal & Johnson 1998 Coral Reefs,Heron Is.,1991,Acroporidae,Acroporidae,Acropora,Tiles,334,3.6,5,92.77777778,
Dustal & Johnson 1998 Coral Reefs,Heron Is.,1991,Acroporidae,Acroporidae,Acropora,Tiles,17,3.32,12,5.120481928,
Dustal & Johnson 1998 Coral Reefs,Heron Is.,1992,Acroporidae,Acroporidae,Acropora,Tiles,279,3.6,5,77.5,
Dustal & Johnson 1998 Coral Reefs,Heron Is.,1992,Acroporidae,Acroporidae,Acropora,Tiles,100,3.56,12,28.08988764,
Dustal & Johnson 1998 Coral Reefs,Heron Is.,1993,Acroporidae,Acroporidae,Acropora,Tiles,252,3.6,5,70,
Dustal & Johnson 1998 Coral Reefs,Heron Is.,1993,Acroporidae,Acroporidae,Acropora,Tiles,88,3,12,29.33333333,
Dustal & Johnson 1998 Coral Reefs,Heron Is.,1994,Acroporidae,Acroporidae,Acropora,Tiles,241,3.6,5,66.94444444,
Dustal & Johnson 1998 Coral Reefs,Heron Is.,1994,Acroporidae,Acroporidae,Acropora,Tiles,94,3.6,12,26.11111111,
Dustal & Johnson 1998 Coral Reefs,Heron Is.,1991,Merulinidae,Faviidae,NA,Tiles,1,3.6,5,0.277777778,
Dustal & Johnson 1998 Coral Reefs,Heron Is.,1991,Merulinidae,Faviidae,NA,Tiles,0,3.32,12,0,
Dustal & Johnson 1998 Coral Reefs,Heron Is.,1992,Merulinidae,Faviidae,NA,Tiles,0,3.6,5,0,
Dustal & Johnson 1998 Coral Reefs,Heron Is.,1992,Merulinidae,Faviidae,NA,Tiles,0,3.56,12,0,
Dustal & Johnson 1998 Coral Reefs,Heron Is.,1993,Merulinidae,Faviidae,NA,Tiles,0,3.6,5,0,
Dustal & Johnson 1998 Coral Reefs,Heron Is.,1993,Merulinidae,Faviidae,NA,Tiles,0,3,12,0,
Dustal & Johnson 1998 Coral Reefs,Heron Is.,1994,Merulinidae,Faviidae,NA,Tiles,0,3.6,5,0,
Dustal & Johnson 1998 Coral Reefs,Heron Is.,1994,Merulinidae,Faviidae,NA,Tiles,0,3.6,12,0,
Sammarco 1991 Limnol Oceanog,Myrmidon reef,1981,Acroporidae,Acroporidae,Acropora,Tiles,7.8,0.03,6,260,
Sammarco 1991 Limnol Oceanog,Myrmidon reef,1981,Acroporidae,Acroporidae,Acropora,Tiles,12,0.03,6,400,
Sammarco 1991 Limnol Oceanog,Myrmidon reef,1981,Acroporidae,Acroporidae,Acropora,Tiles,14,0.03,12,466.6666667,
Sammarco 1991 Limnol Oceanog,Rib Reef,1981,Acroporidae,Acroporidae,Acropora,Tiles,22,0.03,6,733.3333333,
Sammarco 1991 Limnol Oceanog,Rib Reef,1981,Acroporidae,Acroporidae,Acropora,Tiles,24,0.03,6,800,
Sammarco 1991 Limnol Oceanog,Rib Reef,1981,Acroporidae,Acroporidae,Acropora,Tiles,16,0.03,12,533.3333333,
Sammarco 1991 Limnol Oceanog,Pandora Reef,1981,Acroporidae,Acroporidae,Acropora,Tiles,1.8,0.03,6,60,
Sammarco 1991 Limnol Oceanog,Pandora Reef,1981,Acroporidae,Acroporidae,Acropora,Tiles,3.7,0.03,6,123.3333333,
Sammarco 1991 Limnol Oceanog,Pandora Reef,1981,Acroporidae,Acroporidae,Acropora,Tiles,2.2,0.03,12,73.33333333,
Sammarco 1991 Limnol Oceanog,Myrmidon reef,1981,Merulinidae,Faviidae,Favid A,Tiles,0,0.03,6,0,
Sammarco 1991 Limnol Oceanog,Myrmidon reef,1981,Merulinidae,Faviidae,Favid A,Tiles,0,0.03,6,0,
Sammarco 1991 Limnol Oceanog,Myrmidon reef,1981,Merulinidae,Faviidae,Favid A,Tiles,0,0.03,12,0,
Sammarco 1991 Limnol Oceanog,Rib Reef,1981,Merulinidae,Faviidae,Favid A,Tiles,0.4,0.03,6,13.33333333,
Sammarco 1991 Limnol Oceanog,Rib Reef,1981,Merulinidae,Faviidae,Favid A,Tiles,0,0.03,6,0,
Sammarco 1991 Limnol Oceanog,Rib Reef,1981,Merulinidae,Faviidae,Favid A,Tiles,0,0.03,12,0,
Sammarco 1991 Limnol Oceanog,Pandora Reef,1981,Merulinidae,Faviidae,Favid A,Tiles,0,0.03,6,0,
Sammarco 1991 Limnol Oceanog,Pandora Reef,1981,Merulinidae,Faviidae,Favid A,Tiles,0,0.03,6,0,
Sammarco 1991 Limnol Oceanog,Pandora Reef,1981,Merulinidae,Faviidae,Favid A,Tiles,0,0.03,12,0,
Sammarco 1991 Limnol Oceanog,Myrmidon reef,1981,Merulinidae,Faviidae,Favid B,Tiles,0,0.03,6,0,
Sammarco 1991 Limnol Oceanog,Myrmidon reef,1981,Merulinidae,Faviidae,Favid B,Tiles,0,0.03,6,0,
Sammarco 1991 Limnol Oceanog,Myrmidon reef,1981,Merulinidae,Faviidae,Favid B,Tiles,0,0.03,12,0,
Sammarco 1991 Limnol Oceanog,Rib Reef,1981,Merulinidae,Faviidae,Favid B,Tiles,0,0.03,6,0,
Sammarco 1991 Limnol Oceanog,Rib Reef,1981,Merulinidae,Faviidae,Favid B,Tiles,0,0.03,6,0,
Sammarco 1991 Limnol Oceanog,Rib Reef,1981,Merulinidae,Faviidae,Favid B,Tiles,0.2,0.03,12,6.666666667,
Sammarco 1991 Limnol Oceanog,Pandora Reef,1981,Merulinidae,Faviidae,Favid B,Tiles,0,0.03,6,0,
Sammarco 1991 Limnol Oceanog,Pandora Reef,1981,Merulinidae,Faviidae,Favid B,Tiles,0,0.03,6,0,
Sammarco 1991 Limnol Oceanog,Pandora Reef,1981,Merulinidae,Faviidae,Favid B,Tiles,0,0.03,12,0,
Sammarco 1991 Limnol Oceanog,Myrmidon reef,1981,Merulinidae,Faviidae,Favid C,Tiles,0,0.03,6,0,
Sammarco 1991 Limnol Oceanog,Myrmidon reef,1981,Merulinidae,Faviidae,Favid C,Tiles,0,0.03,6,0,
Sammarco 1991 Limnol Oceanog,Myrmidon reef,1981,Merulinidae,Faviidae,Favid C,Tiles,0,0.03,12,0,
Sammarco 1991 Limnol Oceanog,Rib Reef,1981,Merulinidae,Faviidae,Favid C,Tiles,0,0.03,6,0,
Sammarco 1991 Limnol Oceanog,Rib Reef,1981,Merulinidae,Faviidae,Favid C,Tiles,0.3,0.03,6,10,
Sammarco 1991 Limnol Oceanog,Rib Reef,1981,Merulinidae,Faviidae,Favid C,Tiles,,0.03,12,0,
Sammarco 1991 Limnol Oceanog,Pandora Reef,1981,Merulinidae,Faviidae,Favid C,Tiles,0,0.03,6,0,
Sammarco 1991 Limnol Oceanog,Pandora Reef,1981,Merulinidae,Faviidae,Favid C,Tiles,0,0.03,6,0,
Sammarco 1991 Limnol Oceanog,Pandora Reef,1981,Merulinidae,Faviidae,Favid C,Tiles,0.4,0.03,12,13.33333333,
Fisk & Harriot 1989 GBRMPA Report,South GBR reefs,1985,Acroporidae,Acroporidae,NA,Racks,254,1,24,127,Table 6 Plates
Fisk & Harriot 1989 GBRMPA Report,Central GBR reefs,1985,Acroporidae,Acroporidae,NA,Racks,1056,1,25,528,Table 6 Plates
Fisk & Harriot 1989 GBRMPA Report,North GBR reefs,1985,Acroporidae,Acroporidae,NA,Racks,2797,1,26,1398.5,Table 6 Plates
Fisk & Harriot 1989 GBRMPA Report,South GBR reefs,1985,Merulinidae,Faviidae,NA,Racks,8,1,27,4,Table 6 Plates
Fisk & Harriot 1989 GBRMPA Report,Central GBR reefs,1985,Merulinidae,Faviidae,NA,Racks,3,1,28,1.5,Table 6 Plates
Fisk & Harriot 1989 GBRMPA Report,North GBR reefs,1985,Merulinidae,Faviidae,NA,Racks,37,1,29,18.5,Table 6 Plates